===============================================================================
Id,newsRACE,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
47,newsRACE,47,2021-03-05 16:06:00,185.35000610351562,185.36500549316406,185.35000610351562,185.35000610351562,-1.3627411622033183e-06,,0.3791431306016484,MA_cross_Sentiment,47,737854.6708333333,Broker,47,1000.0,1000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,,DrawDown,47,0.0,0.0
48,newsRACE,48,2021-03-05 16:08:00,185.41000366210938,185.41000366210938,185.11000061035156,185.11000061035156,-1.1220725564379205e-06,,0.4201703216829215,MA_cross_Sentiment,48,737854.6722222222,Broker,48,1000.0,1000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,,DrawDown,48,0.0,0.0
49,newsRACE,49,2021-03-05 16:10:00,185.13999938964844,185.14999389648438,185.13999938964844,185.14999389648438,-9.037171809415574e-07,,0.4541284058104973,MA_cross_Sentiment,49,737854.6736111111,Broker,49,1000.0,1000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,,DrawDown,49,0.0,0.0
50,newsRACE,50,2021-03-05 16:14:00,185.2624969482422,185.2624969482422,185.02999877929688,185.02999877929688,-5.339461207559368e-07,,0.5008372532045565,MA_cross_Sentiment,50,737854.6763888889,Broker,50,1000.0,1000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,,DrawDown,50,0.0,0.0
51,newsRACE,51,2021-03-05 16:16:00,185.02999877929688,185.11000061035156,184.75,184.88499450683594,-3.8253043606667893e-07,,0.51358801647104,MA_cross_Sentiment,51,737854.6777777778,Broker,51,1000.0,1000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,,DrawDown,51,0.0,0.0
52,newsRACE,52,2021-03-05 16:18:00,184.9499969482422,184.9600067138672,184.7899932861328,184.94000244140625,-2.5342798164645655e-07,,0.5192696727838262,MA_cross_Sentiment,52,737854.6791666667,Broker,52,1000.0,1000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,,DrawDown,52,0.0,0.0
53,newsRACE,53,2021-03-05 16:20:00,185.0,185.0,184.85000610351562,184.86000061035156,-1.466387574952692e-07,,0.5178822221429148,MA_cross_Sentiment,53,737854.6805555555,Broker,53,1000.0,1000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,,DrawDown,53,0.0,0.0
54,newsRACE,54,2021-03-05 16:22:00,184.8000030517578,184.8800048828125,184.75,184.75,-6.216276361311695e-08,,0.5094256645483061,MA_cross_Sentiment,54,737854.6819444444,Broker,54,1000.0,1000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,,DrawDown,54,0.0,0.0
55,newsRACE,55,2021-03-05 16:24:00,184.75,184.75,184.19000244140625,184.19000244140625,0.0,,0.4939,MA_cross_Sentiment,55,737854.6833333333,Broker,55,1000.0,1000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,,DrawDown,55,0.0,0.0
56,newsRACE,56,2021-03-05 16:26:00,184.08999633789062,184.08999633789062,184.08999633789062,184.08999633789062,3.984953334408191e-08,,0.4713052284979964,MA_cross_Sentiment,56,737854.6847222223,Broker,56,1000.0,1000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,,DrawDown,56,0.0,0.0
57,newsRACE,57,2021-03-05 16:28:00,184.08999633789062,184.27000427246094,184.0,184.27000427246094,5.738583641912876e-08,,0.44164135004229554,MA_cross_Sentiment,57,737854.6861111111,Broker,57,1000.0,1000.0,BuySell,57,,,Trades - Net Profit/Loss,57,,,DrawDown,57,0.0,0.0
58,newsRACE,58,2021-03-05 16:30:00,184.38999938964844,184.52999877929688,184.38999938964844,184.47000122070312,5.260890922514041e-08,,0.40490836463289714,MA_cross_Sentiment,58,737854.6875,Broker,58,1000.0,1000.0,BuySell,58,,,Trades - Net Profit/Loss,58,,,DrawDown,58,0.0,0.0
59,newsRACE,59,2021-03-05 16:32:00,184.1300048828125,184.1300048828125,184.1300048828125,184.1300048828125,2.551875176211689e-08,,0.3611062722698013,MA_cross_Sentiment,59,737854.6888888889,Broker,59,1000.0,1000.0,BuySell,59,,,Trades - Net Profit/Loss,59,,,DrawDown,59,0.0,0.0
