===============================================================================
Id,newsF,len,datetime,open,high,low,close,volume,openinterest,sentiment,MA_cross_Sentiment,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
46,newsF,46,2021-03-05 16:00:00,11.970000267028809,11.985600471496582,11.930000305175781,11.9399995803833,-0.166667,,0.0,MA_cross_Sentiment,46,737854.6666666666,Broker,46,1000.0,1000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,,DrawDown,46,0.0,0.0
47,newsF,47,2021-03-05 16:02:00,11.9399995803833,11.970000267028809,11.90999984741211,11.954999923706055,-0.14344729043558424,,-0.013656401757188161,MA_cross_Sentiment,47,737854.6680555556,Broker,47,1000.0,1000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,,DrawDown,47,0.0,0.0
48,newsF,48,2021-03-05 16:04:00,11.954999923706055,11.960000038146973,11.90999984741211,11.9350004196167,-0.10999831589927486,,-0.017014697838751758,MA_cross_Sentiment,48,737854.6694444445,Broker,48,1000.0,1000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,,DrawDown,48,0.0,0.0
49,newsF,49,2021-03-05 16:06:00,11.930000305175781,11.9399995803833,11.890000343322754,11.904999732971191,-0.06838904429271263,,-0.01146285016350298,MA_cross_Sentiment,49,737854.6708333333,Broker,49,1000.0,1000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,,DrawDown,49,0.0,0.0
50,newsF,50,2021-03-05 16:08:00,11.899999618530273,11.917699813842773,11.880000114440918,11.892800331115723,-0.03103328302574084,,-0.005328630244315,MA_cross_Sentiment,50,737854.6722222222,Broker,50,1000.0,1000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,,DrawDown,50,0.0,0.0
51,newsF,51,2021-03-05 16:10:00,11.895000457763672,11.920000076293945,11.890000343322754,11.90999984741211,0.0,,0.0,MA_cross_Sentiment,51,737854.6736111111,Broker,51,1000.0,1000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,,DrawDown,51,0.0,0.0
52,newsF,52,2021-03-05 16:12:00,11.864999771118164,11.864999771118164,11.850000381469727,11.854999542236328,0.024710804784509835,,0.0045230405694420064,MA_cross_Sentiment,52,737854.675,Broker,52,1000.0,1000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,,DrawDown,52,0.0,0.0
53,newsF,53,2021-03-05 16:14:00,11.829999923706055,11.845000267028809,11.800000190734863,11.8100004196167,0.0430991313277887,,0.008240491464011027,MA_cross_Sentiment,53,737854.6763888889,Broker,53,1000.0,1000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,,DrawDown,53,0.0,0.0
54,newsF,54,2021-03-05 16:16:00,11.8100004196167,11.819899559020996,11.779999732971191,11.779999732971191,0.05516497962983658,,0.011152352683707059,MA_cross_Sentiment,54,737854.6777777778,Broker,54,1000.0,1000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,,DrawDown,54,0.0,0.0
55,newsF,55,2021-03-05 16:18:00,11.78499984741211,11.819999694824219,11.760000228881836,11.804100036621094,0.06090834969065351,,0.013258624228530108,MA_cross_Sentiment,55,737854.6791666667,Broker,55,1000.0,1000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,,DrawDown,55,0.0,0.0
56,newsF,56,2021-03-05 16:20:00,11.800000190734863,11.836199760437012,11.771699905395508,11.795000076293945,0.06032924151023941,,0.014559306098480164,MA_cross_Sentiment,56,737854.6805555555,Broker,56,1000.0,1000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,,DrawDown,56,0.0,0.0
57,newsF,57,2021-03-05 16:22:00,11.800000190734863,11.822799682617188,11.772199630737305,11.780099868774414,0.05342765508859436,,0.015054398293557236,MA_cross_Sentiment,57,737854.6819444444,Broker,57,1000.0,1000.0,BuySell,57,,,Trades - Net Profit/Loss,57,,,DrawDown,57,0.0,0.0
58,newsF,58,2021-03-05 16:24:00,11.779999732971191,11.789999961853027,11.729999542236328,11.744999885559082,0.04020359042571833,,0.01474390081376132,MA_cross_Sentiment,58,737854.6833333333,Broker,58,1000.0,1000.0,BuySell,58,,,Trades - Net Profit/Loss,58,,,DrawDown,58,0.0,0.0
59,newsF,59,2021-03-05 16:26:00,11.744999885559082,11.75,11.680000305175781,11.6850004196167,0.02196015038188511,,0.013702219469403676,MA_cross_Sentiment,59,737854.6847222223,Broker,59,1000.0,1000.0,BuySell,59,,,Trades - Net Profit/Loss,59,,,DrawDown,59,0.0,0.0
60,newsF,60,2021-03-05 16:28:00,11.6850004196167,11.734999656677246,11.670000076293945,11.725000381469727,0.006515952118737534,,0.012375789122351866,MA_cross_Sentiment,60,737854.6861111111,Broker,60,1000.0,1000.0,BuySell,60,,,Trades - Net Profit/Loss,60,,,DrawDown,60,0.0,0.0
61,newsF,61,2021-03-05 16:30:00,11.725000381469727,11.789999961853027,11.725000381469727,11.765000343322754,-0.004825901503450632,,0.01083901558291715,MA_cross_Sentiment,61,737854.6875,Broker,61,1000.0,1000.0,BuySell,61,,,Trades - Net Profit/Loss,61,,,DrawDown,61,0.0,0.0
62,newsF,62,2021-03-05 16:32:00,11.760100364685059,11.765000343322754,11.710000038146973,11.765000343322754,-0.01206541048467936,,0.00909189885109953,MA_cross_Sentiment,62,737854.6888888889,Broker,62,1000.0,1000.0,BuySell,62,,,Trades - Net Profit/Loss,62,,,DrawDown,62,0.0,0.0
63,newsF,63,2021-03-05 16:34:00,11.760000228881836,11.78499984741211,11.739999771118164,11.78219985961914,-0.015202574824948661,,0.007134438926899007,MA_cross_Sentiment,63,737854.6902777777,Broker,63,1000.0,1000.0,BuySell,63,,,Trades - Net Profit/Loss,63,,,DrawDown,63,0.0,0.0
64,newsF,64,2021-03-05 16:36:00,11.779999732971191,11.8100004196167,11.77400016784668,11.78499984741211,-0.014237394524258543,,0.004966635810315576,MA_cross_Sentiment,64,737854.6916666667,Broker,64,1000.0,1000.0,BuySell,64,,,Trades - Net Profit/Loss,64,,,DrawDown,64,0.0,0.0
65,newsF,65,2021-03-05 16:38:00,11.78689956665039,11.819999694824219,11.770000457763672,11.795000076293945,-0.009169869582608986,,0.002588489501349241,MA_cross_Sentiment,65,737854.6930555556,Broker,65,1000.0,1000.0,BuySell,65,,,Trades - Net Profit/Loss,65,,,DrawDown,65,0.0,0.0
66,newsF,66,2021-03-05 16:40:00,11.789999961853027,11.805000305175781,11.760100364685059,11.78499984741211,0.0,,0.0,MA_cross_Sentiment,66,737854.6944444445,Broker,66,1000.0,1000.0,BuySell,66,,,Trades - Net Profit/Loss,66,,,DrawDown,66,0.0,0.0
